,event,title,description
121,31529521955904,Lest We Forget: A Tribute to Holocaust Survivors,"It's been 74 years since the end of World War II, and the population of Holocaust survivors still with us to share their stories is only getting smaller. To keep their stories alive, an art installation coming to the center of the Pitt campus will honor survivors from our area - serving as both a powerful reminder of history and a compelling message about the University's commitment to combating hatred of all kinds.\n\nFrom Oct. 18 to Nov. 15, the pathway from the Cathedral of Learning to Heinz Memorial Chapel will be filled with 60 life-size portraits of Holocaust survivors, including 16 from the Pittsburgh region. It's part of a traveling art exhibit called ""Lest We Forget,"" featuring photographs from German-Italian artist Luigi Toscano.\n\nThe art install"
122,31529934696320,Provost Inaugural and Distinguished Lecture,A Neural Circuitry Substrate for Cognitive Dysfunction in Schizophrenia:\n\nWe hope you will join us for a special lecture and reception celebrating the appointment of Dr. David Lewis as Distinguished Professor of Psychiatry and Neuroscience by the University of Pittsburgh School of Medicine. Dr.
123,31530103211287,Pitt-Greensburg: News of the World,Dr. Lipika Mazumdar invites students to join her in a discussion of the
124,31538940332075,Open Mic Night at Nordy's Place,"Bring your talent. Bring a friend. Bring it on.\n\nThe C4C Open Mic Night at Nordy's is a chance for performers of all kinds - writers, musicians, comics, storytellers, and others - to meet and mingle while showcasing their skills. \n\nAll levels and styles are welcome! Whether you're an experienced performer or a first-timer looking for a supportive and enthusiastic audience, the C4C Open Mic is for you. \n\nOpen mic"
125,31539568455402,Process Pouring,"It's an acrylic pour workshop! Or is it? \n\nWe'll start off with the acrylic pour process, but then we'll add... a little bit of this and a little bit of that. This workshop is all about the process of making, not the end product. Just when you th"
126,31554827241177,Dissertation Defense: Cynthia Salter,"\""Exploration of Experiences of Birth Trauma of Maternity Health Care P"
127,31555294424181,Pawsitive U,Each Wednesday from 11:30am-12:30pm the Office of Residence Life sponsors Paw
128,31556869113787,The Art of Itinerancy:  Yiddish Theater and the Performance of Migration,"Dr. Debra Caplan, Baruch College from  the City University"
129,31564280642346,Steel City Startups: Pitt x CMU ,"Join us for this reception to kick off Global Entrepreneurship Week at the University of Pittsburgh. This event will start with a networking reception for alumni, faculty, students and friends from Pitt and CMU followed by TedX style presentations from Pitt  and CMU innovators. There are sure to be some great takeaways for anyone considering commercializing an innovation or"
130,31565206510813,"Doodle, Design, Pen, & Pins","In this workshop, learn some basic drawing techniques and tools and get an introduction to our new GlowForge laser cutter and engraver. Design "
131,31565326605273,Dissertation Defense: Gregory James Buchan,Molecular Pharmacology Graduate Program PhD Defense
132,31565346366941,The Money Table Graduate Student Investor Competition,"Startup companies are a dime a dozen. Think you've got what it takes to pick a winner? Introducing The Money Table, the competition where you are the angel investor. Put real Pittsburgh startup companies in your hot seat. As you grill local entrepreneurs, real angel investors assess your investment team in a single elimination tournament. No experience required; we'll give you a crash course in investing prior to the competition. All backgrounds welcome, but you must be a graduate student to participat"
133,31565808975271,Startup Job Fair ,"Do you want to be a part of something from the ground up? Interested in working for a start-up?\n\nAttend the Start-Up Job Fair to network with over 40 Pittsburgh startups looking to hire paid positions in sales, marketing, operations, IT, engineering, and more. \n\nThis annual event is presented by Project Olympus and the Pittsburgh Tech Meetup and co-sponsored by Pittsburgh Tech Meetup and the University of Pittsburgh Innovation Institute. \n\nGlobal Entrepreneurship Week"
134,31572572088114,Acquired Dysregulation of Dopamine Homeostasis Reproduces Features of Parkinson's Disease,"PhD Dissertation Defense\n\nMeghan Bucher, BS\n\nKenneth P. Dietrich"
135,31572981130129,On the Neurobiology of Suicidal Behavior: From Clinical to Biological Phenotyping,"Our Meet the PI lecture series continues with a presentation by Nadine Melhem, PhD, Associate Professor of Psychiatry, an expert in psychiatric epidemiology and statistical genetics.\n\nDr. Melhem's research focuses on studying the neurobiology of stress response and suicidal behavior across the spectrum of psychopathology. Dr. Melhem's work identified parental history of suicidal behavior as a predictor for suicide attempt in offspring, the role of impulsive aggression in the familial transmission of suicidal behavior, and the role of the severity and variability of depression symptoms in predicting suicide attempt. Her work resulted in the development of a risk score for the prediction of suicidal behavior. She has also characterized the psychiatric impact of parental death from suicide on children and families and the phenomenology of grief in children resulting in the development of a measure and screen to assess prolonged grief in children, which have been translated to sever"
136,31572985365919,Ketamine Use In the Treatment of Mental Health Disorders,"We hope you will join us on December 13, 2019 for our Clinical Grand Rounds focusing on Ketamine Use In the Treatment of Mental Health Disorders featuring experts from the Department of Psychiatry:\n\nCarmen And"
137,31573142033276,Grieving in the Unconscious Mind,"We are pleased to welcome Noam Schneck, PhD Assistant Professor of Clinical Medical Psychology, Department of Psychiatry at Columbia University, as our Special Guest Lecturer on Wednesday, December 18, 2019.\n\nDr. Schneck studies the way that people adapt to the suicide loss of a loved one. Specifically, his research aims to identify unconscious processes of coping with the loss "
138,31573512390308,"Promoting Citizen Science, Protecting Public Interests","Amy Lynn McGuire, JD, PhD\nLeon Jaworski Professor of Biomedical Ethics and Director\nCenter for Medical Ethics and Health Policy\nBaylor College of Medicine\n\nAbstract"
139,31573538455380,Meeting the Ethical Challenges of Genomic Medicine,"Amy Lynn McGuire, JD, PhD\nLeon Jaworski Professor of Biomedical Ethics and Director\nCenter for Medical Ethics and Health Policy\nBaylor College of Medicine\n\nAbstract"
140,31573694264245,Student Shadows with Pittsburgh Companies,This exclusive opportunity to visit with awesome companies who are right here in Pittsburgh will bring you one step closer to the world of innovation! Hear from members of their teams about life in their companies and what it takes to succeed in an innovation environment!  Space is limited. \n\nThere will be a morning and afternoon visit. \n\nGlobal Entrepreneurship Week
141,31574037715204,"Everyone Wins, Meet UpPrize Social Innovators","Interested in learning more about taking entrepreneurial action to help solve local, regional, national or global challenges?  Join us for a conversation with winners from one of Pittsburgh's premiere competitions known as UpPrize.  Past winners will talk with us about their journey from inspiration to impact, the lessons they've learned along the way, and what's next on their horizon.\n\nFollowing the conversation and stick around for mingling with others in our region's social innovation a"
142,31574105644332,Dissertation Defense: Emily Celeste Beckwitt,Molecular Biophysics and Structural Biology Graduate Program PhD Defense
143,31574380782094,UPTV LIVE!,"The state-of-the-art Pitt Studios in the Petersen Event Center will host UPTV LIVE! an hour and a half live television program showcasing the 10 shows that air on UPTV.\n\nPrograms airing on UPTV LIVE! include, Pitt Tonight, The W"
144,31583099319199,Six Word Stories: An Interactive Exhibit,Six Word Stories
145,31590610969005,Pitt-Greensburg: Open Mic,Stop by the Village Coffeehouse for this month's Open Mic. Both performers and spectators are welcome to thi
146,31590831536663,Discussion of Brain Storm: The Flaws in the Science of Sex Differences  �by Rebecca Jordan-Young,Abstract
147,31590850282373,"Testosterone and Human Aggression: Methods and Narratives that Link Race, Class, Gender, and Violence","Rebecca Jordan-Young, PhD\nTow Associate Professor for Distinguished Scholars\nChair of Women's, Gender, and Sexuality Studies\nBarnard College\n\nAbstract"
148,31591204412220,Pitt-Greensburg: Donuts n' Discussion,Join the Pitt-Greensburg Spanish club for an educatio
149,31591574739958,Pitt-Greensburg: Student Activities Board (SAB) Meeting,The Student Activities Board (SAB) invites fellow studen
150,31591929602388,Pitt-Greensburg: Visual Arts Society (VAS) Meeting,Join the Pitt-Greensburg Visual Arts So
151,31592364394392,"Pitt - Johnstown: Mountain Cat Tournament, Day 2","The Mountain Cat Basketball Tournament, a tradition of more than 40 years at Pitt-Johnstown, features four boys basketball teams in a two-day tournament format and a featured girls game on the second day.\n\nThe event takes place at Pitt-Johnstown's Sports Center.\n\nThe tournament benefi"
152,31616663850573,140 LBS: How Beauty Killed My Mother,"The Vietnamese Student Association (VSA) at the University of Pittsburgh works to promote diversity, awareness, and visibility of Vietnamese culture to people of all backgrounds within the campus community. We believe that bringing Susan Lieu, a Vietnamese-American playwright, would be an amazing opportunity to provide both an educational and emotional experience regarding the Vietnamese refugee experience. Lieu sheds light on the unimaginable ideals of Vietnamese feminine beauty and addresses body insecurity, grief, and trauma through her solo theatrical performance ""140LBS"
153,31617719893306,Indirect Causation,The Gr�nbaum Memorial Lecture will hos
154,31618639542328,Tenant Workshops,"Are you a student interested in living off-campus? Do you currently rent in Oakland and have questions about your rights as a tenant? If yes, then the tenant workshop is where you need to be!\n\nTenant workshops provide opportunities for Pitt students to learn more about their rights and responsibilities as tenants from key campus and community partners. Learn the facts about occupancy rules, trash compliance, "
155,31618904893371,Title IX Town Hall,"Discuss and review results from the AAU Campus Climate Survey, learn about reporting Title IX in"
156,31627112782573, BeFit Pitt Brown Bag,Want to learn more about how to incorporate physical activity in your day?  Interested in how to make healthier choices?  Thinking about how to be healthy over the holidays?  Want to learn more about what is offered for staff at Pitt?  \n\nPlease join us the for BE FIT PITT Brown Bag event!  \n\nWhen
157,31635121066050,Dissertation Defense: Nikita Trivedi,Microbiology and Immunology Graduate Program PhD Defense
158,31635273040435,Dissertation Defense: Hiroshi Yano,Microbiology and Immunology Graduate Program PhD Defense
159,31635535169361,Johnson Institute for Responsible Leadership Emerging Leader Award: Samir Lakhani,"Join GSPIA and the Johnson Institute for Responsible Leadership for an award ceremony to honor Samir Lakhani as this year's Emerging Leader.\n\nWith this award, the Institute recognizes and celebrates the accomplishments of individuals who, relatively early in their professional careers, have demonstrated exceptional leadership qualities and high promise of future contributions.\n\nLakhani, 27, is the founder of the nonprofit Eco-Soap Bank, a global soap-recycling organization which operates in 11 countries in Africa, Asia and the Middle East. He is a social entrepreneur dedicated to restoring health and dignity to developing countrie"
160,31635861533467,An Evening with David Dobrik,"Join the Pitt Program Council in the WPU Assembly Room on Wednesday, November 6, 2019, for An Evening with David Dobrik. The audience will also be able to ask some questions! Tickets go on sale for $5 on Tuesday, October 22, at 7:00 am at the Pitt Program Council Ticket Office. Doors open at 7:30 pm and the lecture will begin at 8:30 pm. If you do not have a ticket, the stand-by line will be let in at 8:15pm. Dobrik is an American YouTube personality from Slovakia with over 12.1 million subscribers on YouTube and 7.6 million followers on Instagram. David became well-known on the now defunct 6-second mobile app, Vine, wher"
161,31636692139797,Practically Pastel,"Get ready to blend your heart out in this introduction to oil and chalk pastels, and make an original pastel p"
162,31643533438748,Christmas with Shadyside Brass at Heinz Chapel,"Join us for a joyful and jazzy Christmas celebration with special guest, jazz trumpeter Al Hood"
163,31643604862359,A Patriotic Thanksgiving,"The Murrysville Cantata Choir, sponsored by First Presbyterian Church of Murrysville, is a group of singers from churches throughout the Murrysville area that was formed in Spring of 2018 to present the sacred cantata ""Behold the Lamb"" by Lloyd Larson for the Easter season.  Performing at First Presbyterian Church, the Choir followed their successful debut with ""A Patrio"
164,31643616273717,Ring Pittsburgh,"Ring Pittsburgh will entertain with a wonderful array of tunes - everything from classical to modern, with a few of those old-time classics in a performance to remember!\n\nRing Pittsburgh is an auditioned community of musicians skilled in the art of handbell ringing. This unique en"
165,31643667839426,Age of Epigonality: Creativity in the Rearview Mirror,"Join the Humanities Center for a lecture from Adrian Daub (Standford University, Comparative Literature and German Studies).\n\nAbstract"
166,31643680834241,Metal from Clay: Pittsburgh's Aluminum Stories,"Join us for an opening reception on October 24 from 5-7pm!\n\nReflect on the histories of aluminum through a selection of objects and other original materials drawn from Pittsburgh collections. From the early production of aluminum in Smallman Street to its midcentury use across avant-garde art and design, this exhibition culminates in a new installation by contemporary sculptor Atticus Adams that uses recycled aluminum to reimagine the University Art Gallery rotunda.\n\nFeaturing loans from the Carnegie Museum of Art, Carnegie Museum of Natural History, Heinz History Center, Rivers of Steel, University Library System and other co"
167,31643684294802,Wreath Workshop with Pisarcik Flower Farm,"Our friends from Pisarcik Flower Farm will be at Heinz Chapel on December 5th at 6 PM to teach you how to create your very own evergreen wreath. Participants learn to work with Juniper, Pine, Fir, and Cedar evergreens as well as Eucalyptus on round wire frames to create this"
168,31643701327499,The Curious Drawings of Doctor Clapp,"Join us for an opening reception on October 24 from 5-7pm!\n\nWhat do old Italian drawings have to do with shells, rocks, coins and other curiosities from across the globe? This diverse spectrum of objects were all donated to museums by George Hubbard Clapp (1858-1949), an aluminum industry pioneer whose collecting across art and science made him something of a modern-day Renaissance man.\n\nThis exhibition focuses on a collection of drawings that Clapp donated to the University in 1941"
169,31644490184836,Emergency Access to Investigational Products,This session will provide an overview of the process for submitting an Emergency Use Request to the FDA for expanded access to an investigational product. The discussion will provide detailed information on the approach for obtaining access to investigational prod
170,31644616967516,"Molecular Biophysics/Structural Biology Seminar \""Expansion Microscopy:  New Ways to Visualize Invisible Secrets of Biology and Diseases\","Yongxin (Leon) Zhao, Ph.D., Assistant Professor, Depart"
171,31645124692404,Pitt-Johnstown Men's soccer vs. Slippery Rock,The Mountain Cats take o
172,31645142739679,Pitt-Johnstown Women's soccer vs. Edinboro,The Mountain Cats host 
173,31645311168842,Pitt-Johnstown volleyball vs. Edinboro,Mountain Cats host
174,31645335150347,Pitt-Johnstown volleyball vs. Gannon,The Mountain Cats host
175,31645367921726,Pitt-Johnstown volleyball vs. Mercyhurst,The Mountain Cats hos
176,31645382239995,Pitt-Johnstown volleyball vs. IUP,TheMountain Cats host PSAC r
177,31645421354217,Pitt-Johnstown Men's soccer vs. Seton Hill,The Mountain Cats h
178,31645439680060,Pitt-Johnstown Men's basketball vs. Carlow ,The Mountain Cats host a pre-seas
179,31645459011965,Pitt-Johnstown Women's basketball vs. Wheeling Jesuit,The Mountain Cats ho
180,31645476671365,Pitt-Johnstown Men's basketball vs. Ohio Dominican College,The Mountain Cats host
181,31645494276196,Pitt-Greensburg: Coffee and Conversation with the President,Pitt-Greensburg students are invited to join President Gregerson for coffee and conversation in the Village Coffeehouse (Village Hall). 
182,31645507788120,Pitt-Johnstown Women's basketball vs. WV Wesleyan,The Mountain Cats host a non-conference gam
183,31645611036960,Pitt-Johnstown Men's basketball vs. East Stroudsburg,The Mountain Cats host Ea
184,31645620838503,Pitt-Johnstown Men's basketball vs. Kutztown,TheMountain Cats hos
185,31645636919389,Pitt-Johnstown Women's basketball vs. East Stroudsburg,The Mountain Cats host E
186,31645662401730,Pitt-Johnstown Women's basketball vs. Kutztown,The Mountain Cats welc
187,31652395330956,Working Guidance on Graduate Student Academic Appointments and Draft Appointment Letter Template,"Stephanie Hoogendoorn and Jennifer Walker, Graduate Studies - Office of the Provost, will discuss the following documents, all updated as of October 15, 2019 and posted Guidelines, Policies, and Resources\n\nDRAFT Guidance on Graduate Student Academic Appointments and FAQsDRAFT Appointment Letter Template Guidelines on Working Hours for F1/J-1 Visa Holders from "
188,31652533511562,Pitt Commons Training Session: Program/Group Administration Features and Best Practices,"Join us for training sessions to discover the rich opportunities available on this new Web-based hub for mentoring, networking, and connecting with people in the Pitt"
189,31652542360168,Pitt Commons Training Session: Open Office Hours,"Join us for training sessions to discover the rich opportunities available on this new Web-based hub for mentoring, networking, and connecting with people in the Pitt"
190,31652712476242,Watch Party in The Global Hub!,"Join us for a second screening of a new film about Pitt Alumna and 2004 Nobel Peace Prize Laureate, Wangari Maathia of Kenya. Learn more about her life and legacy of The Green Belt Movement that restored \""the world's fourth lu"
191,31653685343507,Sex Contextualism,"Sarah S. Richardson, PhD\nProfessor of the History of Science and of Studies of Women, Gender, and Sexuality\nHarvard University\n\nAbstract"
192,31653702987738,"The Maternal Imprint: Gender, Heredity, and the Biosocial Body","Sarah S. Richardson, PhD\nProfessor of the History of Science and of Studies of Women, Gender, and Sexuality\nHarvard University\n\nAbstract"
193,31653715912618,Cryptic Effects at a Distance: Constructing Causal Claims in Fetal Epigenetic Programming Research,"Sarah S. Richardson, PhD\nProfessor of the History of Science and of Studies of Women, Gender, and Sexuality\nHarvard University\n\nAbstract"
194,31653739831932,"The Postgenomic Condition: Truth, Race and Justice After the Genome","Jenny Reardon, PhD\nProfessor of Sociology\nFounding Director of the Science and Justice Research Center\nUniversity of California, Santa Cruz\n\nAbstract"
195,31654344534769,Pitt-Johnstown Open House,"Pitt-Johnstown Admissions welcomes you to our Open House Program. This is a great opportunity for students and their families to visit and tour campus, and to meet with the admiss"
196,31654470072213,MQE Program Information Webinar,"Pitt's Master of Science in Quantitative Economics, https://www.mqe.pitt.edu/, is an 8 month STEM degree program with career services enrolling now for August 2020. Learn more by participating in a webinar on Wednesday, Nove"
197,31654487645403,MQE Program Information Webinar,"Pitt's Master of Science in Quantitative Economics, https://www.mqe.pitt.edu/, is an 8 month STEM degree program with career services enrolling now for August 2020. Learn more by participating in a webinar on Monday, Decem"
198,31654494347366,MQE Program Information Webinar,"Pitt's Master of Science in Quantitative Economics, https://www.mqe.pitt.edu/, is an 8 month STEM degree program with career services enrolling now for August 2020. Learn more by participating in a webinar on Thursday, Janu"
199,31654533492902,Dissertation Defense: Lu-han Li,Defense of a Doctoral Dissertation\n\nTexture and Timbre in Dai Fujikura'
200,31678613861436,Pitt-Johnstown wrestling vs. Kutztown,The Mountain Cats host Kutztown Uni
201,31678639487110,Pitt-Johnstown wrestling vs. Findlay ,The Mountain Cats host a dual
202,31678681244593,Pitt-Johnstown wrestling vs. West Liberty,The Mountain Cats host West Liber
203,31678962541541,Genomic Data Sharing: Words Matter,This session will provide researchers with basic information about the NIH Genomic Data Sharing policy and language that should be included in their consent forms. This presentation will also review the process and requirements for obtaining an IRB affirmation letter/institutional certification. We will discuss common issues encountered with g
204,31679209173260,Considerations When Conducting Research Outside the U.S.,"Are you planning on conducting research internationally? Join us to learn about the tips, tools, and where to find the necessary resources. This workshop will provide an overview of the additional regulatory reviews, permissions required, and often overlooked provisions.\n \nIt is important to sta"
205,31680150664271,Busting Multimedia Myths,"Join your Pitt Online colleagues to celebrate National Distance Learning Week. We will participate in a webinar on \""Busting Multimedia Myths"
206,31687587758755,Blue and Gold Tours!,"The University of Pittsburgh Staff Council and Pitt Alumni Association's Blue and Gold Society are excited to host a Pittsburgh campus tours program. \n\nWhile primarily intended for newer Pitt staff members, all staff members are encouraged register.\n\n \n\nBlue and Gold Society student ambassadors will lead attendees on a 60 minute walking tour of lower campus, weaving through building interiors, \n\ndescribing p"
207,31687599822092,Blue and Gold Tours!,"The University of Pittsburgh Staff Council and Pitt Alumni Association's Blue and Gold Society are excited to host a Pittsburgh campus tours program. \n\nWhile primarily intended for newer Pitt staff members, all staff members are encouraged register.\n\n \n\nBlue and Gold Society student ambassadors will lead attendees on a 60 minute walking tour of lower campus, weaving through b"
208,31689802976950,Games4SocialImpact,"Join us for our weekend-long Games4SocialImpact game jam where you will have the opportunity to work with students from across the University to design games that could address social, educational, and healthcare issues.\n\nNovember 8 from 6:00 - 10:00 pm"
209,31689865246228,Dissertation Defense: Amer Malki,"\""Ex-Post Enforcement for Cooperative Spectrum Sharing\""\n\nDepartment of Informatics and Networked Systems\n\nCommi"
210,31689883201828,Dissertation Defense: Marian Zaki,"\""Balancing Privacy, Precision, and Performance in Distributed Systems\""\n\nDepartment of Compute"
211,31689899775012,Dissertation Defense: Judicael Briand Djoko,"\""Towards Practical Access and Usage Control on the Cloud\""\n\nDepartment of Computer Sci"
212,31696880539992,Latin American Studies Undergraduate Symposium,"The Center for Latin American Studies at the University of Pittsburgh is calling for undergraduate students to submit papers for our upcoming symposium to be held on Thursday, December 5, 2019 from 9:00 a.m. to 5:00 p.m.-Room 4130 and 4127 Wesley W. Posvar Hall.\n\nThis symposium provides a platform for students to showcase their research, papers and an opportunity to see what other undergraduate students at Pitt are working on areas related to Latin America, the Caribbean, and the United States. \n\nThe Center is accepting papers across all disciplines, that showcase our region, such as but not limited to"
213,31697719688325,Cultural Immersion: Visit to an Amish Community,"Trip will include a historical tour, visit with a leather and basket maker, and a homeade lunch in an Amish home. There will be time for shopping at authentic Amish s"
214,31698149029546,Society of General Internal Medicine: Mid-Atlantic,Meeting Theme:\nGeneralists of Steel - Combatting Health Disparities and Delivering High-Value Care for All\n\nOnline Registration for the Mid-Atlantic Regional Meeting is now open.  All participan
215,31698247612897,Towards ACL Center of Excellence,"Volker Musahl, MD, Blue Cross of Western Pennsylvania Professor in the Department of Orthopaedic Surgery, School of Medicine; professor of bioengineering, Swanson School of Engineering; and professor of clinical and translational science, will deliver a Provost's Inaugural Lecture, Towards ACL Center of Ex"
216,31698330362228,Forge Your Own Path Grant Program Information Session,"The Office of the Provost is inviting proposals for projects that support its Forge Your Own Path strategy, an evolution of Pitt's Personalized Education initiative.\n\nPitt's Forge Your Own Path strategy aspires to integrate the rich expertise and network of the Pitt community with new and emerging technologies to provide customized, meaningful collaborations, connections, and experiences that"
217,31698466171989,Society of General Internal Medicine: Mid-Atlantic Pre-Meeting Courses,Course #1
218,31698667948966,"The Mark A. Nordenberg Lecture in Law, Medicine & Psychiatry","The University of Pittsburgh School of Law will feature Barak Richman in the annual Mark A Nordenberg Lecture in Law, Medicine and Psychiatry. The event will take place on Nov. 5 n the Teplitz Memorial Moot Courtroom in the Barco Law Building at 12:30 p.m. The lecture, titled, \""Shopping for Healthcare"
219,31699384791901,Pitt-Greensburg RED OUT!,"Pitt-Greensburg Military & Veterans Services invites the campus community to honor US Military personnel deployed across the globe by wearing RED on Friday, November 15, as part of the campus' second annual RED OUT.\n\nA commemorative RED OUT T-shirt is available for purchase from the Pitt-Greensbur"
220,31706357311248,2019 Advances in Medical Hepatology,"Annual Update in Medical Hepatology, p"
221,31707451835077,Pitt-Greensburg: Veterans Day Wreath Ceremony,Pitt-Greensburg will celebrate Veterans Week with a series of activities that begin with the Veterans Day Wreath Ceremony at the Chambers Hall Flag Poles.
222,31707526672307,Pitt-Greensburg: Veterans Day Luncheon,"The Phi Eta Sigma Freshman Honor Society will host its annual luncheon for area military veterans, Pitt-Greensburg vete"
223,31707573920733,PhD Defense: Lauren Sealy Krishnamurti,Care with Aloha
224,31707578966844,Pitt-Greensburg: Military & Veteran Student Appreciation Lunch,Pitt-Greensburg Military and Veteran students are invited to this luncheon as part of the camp
225,31707633488604,"Pitt-Greensburg: Screening of \""Top Secret Rosies\","As part of Pitt-Greensburg's observance of Veterans Week, a screening of the documentary \""Top Secret Rosies\"" will be held. This event is free and open to the public.\n\n\""In 1942, when computers we"
226,31707707601386,Pitt-Greensburg: An Evening with WWII Veteran Guy Prestia,"As part of its observance of Veterans Week, Pitt-Greensburg, in partnership with the Veterans Breakfast Club, welcomes WWII Veteran Guy Prestia to campus. \n\nPrestia served with the 45th Infantry Division.  Todd DePastino will "
227,31713986836050,L'Orgue Mystique,"This year marks the 80th anniversary of the death of Charles Tournemire (1870-1939).  To commemorate the vast contribution that he made to the body of organ music and his genius as a composer, Organist Richard Spotts will perform the complete L'Orgue Mystique for the first time in the Pittsburgh Area. .  Our region is particularly fitting for the concert series because of the immense work done by the late Dr. Robert Sutherland Lord who spent most of his life as a Tournemire "
228,31714046604241,Trombone Christmas at Heinz Chapel,"The Pittsburgh Trombone Project will be hosting ""Trombone Christmas"" at Heinz Chapel on Sunday afternoon, December 22nd, 2019. All levels of trombonist are"
229,31732225238486,Staff Community of Practice for Community Engagement,"Pitt is creating a Staff Community of Practice for those who support their unit's implementation of community engagement. The goal of the community is three-fold:\n1) To build a network of community engagement practitioners who can support and mentor one another, \n2) To advance community engagement at Pitt and, \n3) To strengthen your practice of community engagement.\n\nIf your work brings together the university and the community for collaborative partnered work, you are most welcome. Please email Jamie Ducar, director of community engagement, to RSVP. Even if you are unable to make our initial convening, please fill out the following Qualtrics survey in order to indicate your interest in participating. "
230,31740840218081,Dissertation Defense: Amie Janeth Barda,Biomedical Informatics Graduate Program PhD Defense
231,31741171955470,Computer Science Colloquium: Jacob Biehl,"Join us as Jacob Biehl, associate professor at SCI, presents, \""Developing, Deploying, and Evaluating Indoor Location Technologies to Support Effective Work Practices.""\n\nFrom Pok�mon Go to Uber, affordable and ubiquitous geo-location technologies have unlocked numerous new user"
232,31741185003538,Computer Science Colloquium: Stephen Lee,"Join us as Stephen Lee, assistant professor at SCI, presents, \""An AI Perspective of Data-driven Smart Communities.""\n\nThe rise of low-cost sensors and the ubiquitous Internet have led to the unprecedented deployments of the Internet of things ("
233,31741828401966,Dissertation Defense: Allison McCann,Women's Books? Gendered Piety and Patronage in Late Medieval Bohemian Illuminated Codices\n\n
234,31742213584978,Proposals and Nominations Open,"With the leadership of Provost Ann Cudd and Senior Vice Chancellor Kathy Humphrey, the Community Engaged Scholarship Forum featuring the Senior Vice Chancellor's Partnerships of Distinction Awards will be held on March 3, 2020 in the William Pitt Union.\n\nThe theme for the event is \""Progress Through Partnerships"
235,31748963046103,Activation of Endogenous Retro Transposable Elements as a Mechanism ,"Contributing to Age-Associated Sterile Inflammation\n\nAs part of the Aging Research Seminar Series, John Sedivy, PhD, Herman C. Bumpus Professor of Biology and Professor o Medical Sciences, Director of the Brown University Center on the Biology of Aging  will present his talk titled \""Activation of Endogenous Retro Transposable Elements as a Mechanism Contributing to Age-Associated Sterile Inflammation\"".\n\nA central part of the Aging Institutute's mission is to promote innovative research in aging and a rich environment for training new generation of investigators in the aging field. Beyond individualized men"
236,31749270489109,Never a Spectator: A Civic Engagement Forum,"Join us for a night of networking with Pittsburgh's elite from nonprofits, government and politics, foun"
237,31749730677480,Global Masquerade Ball,"Join Global Ties for a night of dancing, good food, and even better company. Bring your own mask! Finger foods, dessert bar, photo boot"
238,31749738199192,"Decolonizing Judaism in an Era of White Supremacy: Tree of Life, Travel Bans and New Concentration Camps","In October 27, 2018, a white supremacist, infuriated with Jewish aid to refugees, killed eleven people and injured seven others in the Tree of Life Synagogue in Pittsburgh. One of the many questions that followed the event was"
239,31750031728360,Dissertation Defense: Nathan Vogler,Center for Neuroscience - School of Medicine/Neurobiology Graduate Progra
240,31750069014692,"Genes That Link Lifespan, Healthspan and Fertility","The Aging Institute of the University of Pittsburgh presents a special seminar with Arjumand Ghazi, PhD, who will be presenting \""Genes that link lifespan, healths"
241,31751624949099,"Black Women, Black Feminism: Learning from the Intersections","The panel, hosted by the School of Education Ren�e and Richard Goldman Dean Valerie Kinloch, will underscore the urgency of Black feminist theory in research and practice. An additional and related aim is centering Black girls' and women's experiences in urban education conversations. The dialogue is also an opportunity to remember Dr. Helen S"
242,31758516424817,"Robin James on ""'Bad Guy,' 'High Hopes,' and Chill Moods: post-probabilist resilience in today's pop music",Free - Abstract
243,31758777730946,Dr. Katherine Mirica: Molecular Engineering of Materials for Chemical Sensing & Microelectronics,Dr. Katherine Miric
244,31758809322949,Dr. Darren Derksen: Targeting Protein Function using Proteolysis-Targeting Chimeras (PROTACs)-Synthesis & Structure-Activity Relationship Studies,Dr. Darren Derksen - 
245,31758877843897,"Dr. James Landers: Harnessing Microfluidics for a Small Portable, Cost-Effective System for Ultrafast Forensic DNA Analysis",38th Annual Pittsburgh Conference Lecture\n
246,31759086608685,Veteran Coffee Social,"Connect and build community with veteran faculty, staff, students & the rest of the Pitt V"
247,31759776313875,ClinicalTrials.gov: Updated Quality Control and Posting Procedures,"Beginning in January 2020, the National Library of Medicine is expecting to update their procedures governing quality control review and posting of summary results information submitted to ClinicalTrials.gov, for applicable clinical trials of drugs and medical devices. Consistent with 42 CFR Part 11, summary results information for such trials will be posted publicly within 30 days of submission, regardless of whether the quality control review process has completed. Join us for an overvi"
248,31760171763576,Cristina Lagnese,Nationality Rooms Programs Women's
249,31760209835434,Pitt-Greensburg Criminal Justice Day: Special Populations,"Special Populations is the topic of the first Legislative Action Panel to be held as part of Pitt-Greensburg's 2019 Criminal Justice Day.  Four panels will be held throughout the day, plus a networking luncheon event. The day is sponsored by the Criminal Justice Club, the Academic Village, and the Office of Career Services.\n\nDiscussing Special Populations will be David Garlock and Ciora Thomas.\n\nGarlock, the program director for New Person Ministry, a re-entry program in Pennsylvania where he works with sex offenders to rehabilitate their live"
250,31760282933011,Pitt-Greensburg Criminal Justice Day: The Death Penalty,"The Death Penalty is the topic of the second Legislative Action Panel to be held as part of Pitt-Greensburg's 2019 Criminal Justice Day.  Four panels will be held throughout the day, plus a networking luncheon event. The day is sponsored by the Crim"
251,31760285993520,Cristina Lagnese,Nationality Rooms Pro
